anonymity_id,company_anonymity,coworkers_know,supervisor_know,mental_health_interview,phys_health_interview,survey_id
104,Don't know,Some of them,Yes,No,No,104
105,Yes,Some of them,Yes,No,No,105
106,Don't know,Some of them,Yes,No,Maybe,106
107,No,Yes,Yes,No,No,107
108,Don't know,No,No,No,No,108
109,Yes,Some of them,Yes,No,Maybe,109
110,Yes,No,No,No,Yes,110
111,Yes,Some of them,Some of them,No,Maybe,111
112,Yes,Yes,Yes,Yes,Yes,112
113,Don't know,Some of them,Some of them,No,No,113
114,Don't know,Some of them,No,No,Maybe,114
115,Don't know,Some of them,Some of them,No,No,115
116,Yes,Some of them,Yes,No,Maybe,116
117,Yes,Some of them,Yes,No,No,117
118,Yes,Some of them,No,No,No,118
119,Don't know,Some of them,Yes,Maybe,Maybe,119
120,Don't know,No,No,No,No,120
121,Don't know,Some of them,Yes,No,No,121
122,Yes,Yes,Yes,No,Maybe,122
123,Yes,No,No,No,No,123
124,Don't know,Some of them,Yes,No,Maybe,124
125,Yes,Some of them,No,No,Yes,125
126,Don't know,Some of them,Some of them,No,No,126
127,Yes,No,Yes,No,No,127
128,Don't know,No,No,No,No,128
129,Don't know,Some of them,No,No,No,129
130,Don't know,Yes,Some of them,No,Yes,130
131,Don't know,Yes,Some of them,No,Yes,131
132,Don't know,Yes,Yes,Maybe,Maybe,132
133,Yes,Yes,Yes,Maybe,Yes,133
134,Don't know,Some of them,Yes,Maybe,Yes,134
135,Don't know,No,No,No,No,135
136,Yes,Some of them,Yes,Maybe,Maybe,136
137,Don't know,Yes,Yes,No,No,137
138,Don't know,Some of them,No,No,No,138
139,Don't know,Some of them,Some of them,No,No,139
140,Don't know,Some of them,Yes,No,No,140
141,Yes,Some of them,No,No,Maybe,141
142,Don't know,Some of them,No,No,Maybe,142
143,Don't know,Some of them,Yes,No,No,143
144,Don't know,Some of them,Some of them,No,Maybe,144
145,Don't know,Some of them,Yes,Maybe,Maybe,145
146,Yes,No,Some of them,No,No,146
147,No,No,No,No,No,147
148,Don't know,Some of them,No,No,No,148
149,Don't know,No,Some of them,No,Maybe,149
150,Yes,Some of them,Some of them,Maybe,Maybe,150
151,Don't know,Some of them,Some of them,No,Maybe,151
152,Don't know,Yes,Yes,Maybe,Yes,152
153,Don't know,Some of them,Some of them,Maybe,Maybe,153
154,Yes,Some of them,No,No,Yes,154
155,Don't know,Some of them,Some of them,No,Maybe,155
156,Don't know,No,Some of them,No,Maybe,156
157,Don't know,Some of them,Yes,No,Maybe,157
158,Don't know,Some of them,Yes,No,No,158
159,Don't know,Some of them,No,No,No,159
160,Yes,Some of them,Some of them,No,Maybe,160
161,Don't know,Some of them,Some of them,No,No,161
162,Don't know,Some of them,Some of them,No,No,162
163,Don't know,Some of them,Yes,No,No,163
164,Yes,Some of them,Yes,No,Yes,164
165,Yes,Yes,Yes,No,Maybe,165
166,Don't know,Some of them,Some of them,No,Maybe,166
167,Don't know,Yes,Yes,No,Maybe,167
168,Don't know,No,No,No,Maybe,168
169,Don't know,Some of them,Some of them,No,Maybe,169
170,Yes,Yes,Yes,No,No,170
171,Don't know,Some of them,Yes,No,Maybe,171
172,Don't know,No,No,Maybe,Maybe,172
173,Don't know,Some of them,Yes,No,Maybe,173
174,Don't know,Some of them,Yes,No,No,174
175,Don't know,No,Some of them,No,Maybe,175
176,Yes,Some of them,Some of them,Maybe,Maybe,176
177,Yes,Yes,Yes,No,No,177
178,Yes,Yes,Yes,No,No,178
179,Don't know,Yes,Yes,No,Maybe,179
180,No,No,Yes,Maybe,Yes,180
181,Don't know,Some of them,Some of them,No,No,181
182,Yes,Yes,Yes,Maybe,Maybe,182
183,Don't know,Some of them,Some of them,No,No,183
184,Don't know,No,No,No,No,184
185,Don't know,Some of them,No,Maybe,Yes,185
186,Don't know,Some of them,Yes,Maybe,Yes,186
187,Don't know,Some of them,No,No,Maybe,187
188,Don't know,Some of them,Yes,Maybe,Yes,188
189,Yes,No,No,No,No,189
190,Yes,Some of them,Some of them,No,Maybe,190
191,Don't know,Some of them,No,No,Maybe,191
192,Don't know,No,No,No,Maybe,192
193,Yes,Some of them,Yes,No,No,193
194,Don't know,Some of them,No,No,No,194
195,Don't know,Some of them,Some of them,No,Maybe,195
196,Don't know,Some of them,No,No,No,196
197,Yes,Some of them,Yes,No,Maybe,197
198,Don't know,Some of them,Some of them,No,Maybe,198
199,Don't know,Some of them,No,No,Maybe,199
200,Don't know,Some of them,Some of them,No,No,200
201,Yes,Some of them,Yes,No,No,201
202,Don't know,Some of them,Some of them,Maybe,Maybe,202
203,Don't know,No,No,No,Yes,203
204,Don't know,Yes,Yes,No,No,204
205,Don't know,No,No,No,No,205
206,Don't know,Some of them,Some of them,Maybe,Maybe,206
207,Yes,Yes,Yes,No,Maybe,207
208,Don't know,Some of them,Yes,No,No,208
209,No,No,No,No,Maybe,209
210,Yes,Some of them,Yes,No,No,210
211,Don't know,Some of them,Yes,No,Maybe,211
212,Don't know,No,No,No,Maybe,212
213,No,Some of them,Some of them,No,Maybe,213
214,Yes,Yes,Yes,No,Yes,214
215,Don't know,Some of them,No,No,No,215
216,Yes,Some of them,Yes,Maybe,Yes,216
217,Yes,Some of them,Some of them,No,No,217
218,Don't know,Some of them,No,No,No,218
219,Don't know,No,Some of them,No,No,219
220,Don't know,Yes,Yes,Maybe,Maybe,220
221,Don't know,Yes,Yes,Yes,Yes,221
222,Don't know,Some of them,Some of them,No,Maybe,222
223,Yes,No,Some of them,No,No,223
224,Don't know,No,Yes,No,Yes,224
225,Yes,Yes,Yes,Maybe,Yes,225
226,Don't know,Some of them,Yes,No,Maybe,226
227,Don't know,No,No,No,Maybe,227
228,Don't know,Some of them,No,Maybe,Maybe,228
229,Don't know,Some of them,Some of them,No,Maybe,229
230,Don't know,Some of them,Some of them,No,Maybe,230
231,Don't know,Some of them,No,Maybe,Maybe,231
232,Don't know,No,No,No,Maybe,232
233,Don't know,Some of them,Yes,No,Maybe,233
234,Yes,Some of them,Some of them,No,No,234
235,Don't know,No,No,No,Maybe,235
236,Don't know,Some of them,Some of them,No,Yes,236
237,Yes,Some of them,Yes,No,Yes,237
238,Yes,Some of them,Some of them,No,Maybe,238
239,Yes,Some of them,Yes,No,No,239
240,Don't know,Some of them,Yes,Maybe,Maybe,240
241,Don't know,Some of them,Some of them,No,Maybe,241
242,Yes,Some of them,Yes,No,No,242
243,Yes,Some of them,Yes,No,Yes,243
244,Yes,Some of them,Yes,Maybe,Maybe,244
245,Yes,No,No,No,Maybe,245
246,Don't know,No,No,No,Maybe,246
247,Yes,Yes,Yes,Maybe,Yes,247
248,Don't know,Yes,Yes,No,Yes,248
249,Yes,Some of them,No,Maybe,Yes,249
250,Yes,Some of them,Some of them,No,Yes,250
251,Yes,Some of them,Yes,No,Maybe,251
252,Yes,Some of them,Yes,No,Maybe,252
253,No,Yes,Yes,No,No,253
254,Don't know,Yes,Yes,Maybe,Maybe,254
255,Don't know,No,No,No,Maybe,255
256,Don't know,Some of them,Some of them,No,Maybe,256
257,Don't know,Some of them,Yes,No,No,257
258,Don't know,Some of them,Some of them,No,Yes,258
259,No,No,No,No,Yes,259
260,Yes,Yes,No,No,Maybe,260
261,No,Some of them,Some of them,No,Maybe,261
262,Yes,Yes,Yes,Maybe,No,262
263,Yes,Some of them,Some of them,No,Yes,263
264,Don't know,Yes,Yes,Yes,Yes,264
265,Don't know,Some of them,Yes,No,Maybe,265
266,Don't know,Yes,Yes,Yes,Yes,266
267,Don't know,Yes,Some of them,Maybe,Maybe,267
268,Yes,Some of them,Some of them,No,Yes,268
269,Don't know,Yes,Yes,No,No,269
270,Don't know,Some of them,Some of them,No,Maybe,270
271,Yes,Some of them,Yes,Maybe,Maybe,271
272,Yes,Some of them,Yes,No,No,272
273,Don't know,Yes,Some of them,No,No,273
274,Don't know,No,No,No,Maybe,274
275,Yes,Some of them,Yes,No,No,275
276,Don't know,Some of them,No,No,No,276
277,Don't know,No,Some of them,No,No,277
278,Don't know,Some of them,Some of them,No,No,278
279,Don't know,Some of them,No,No,Maybe,279
280,Don't know,Some of them,Yes,No,Yes,280
281,Yes,No,No,No,Maybe,281
282,Don't know,No,No,No,Maybe,282
283,Yes,No,Some of them,No,Maybe,283
284,Don't know,Some of them,Some of them,No,Yes,284
285,Yes,Yes,Yes,Yes,Yes,285
286,Don't know,Some of them,Some of them,No,No,286
287,Don't know,Some of them,Some of them,No,Maybe,287
288,Don't know,Some of them,No,No,No,288
289,Don't know,Some of them,No,No,No,289
290,No,Yes,Yes,No,No,290
291,Don't know,Some of them,Some of them,No,No,291
292,Yes,Some of them,Some of them,No,Maybe,292
293,Don't know,Some of them,Some of them,No,No,293
294,Don't know,Yes,Some of them,No,Maybe,294
295,Don't know,Some of them,No,No,Maybe,295
296,Don't know,Yes,Yes,No,Yes,296
297,Don't know,Some of them,Yes,Maybe,Maybe,297
298,Don't know,No,No,No,Maybe,298
299,Don't know,Some of them,Yes,Maybe,Maybe,299
300,Don't know,Some of them,Some of them,No,No,300
301,Yes,Yes,Yes,No,No,301
302,Don't know,Some of them,Yes,No,Maybe,302
303,Yes,Some of them,Yes,No,No,303
304,Don't know,Some of them,Yes,No,No,304
305,Don't know,Some of them,Some of them,Maybe,Maybe,305
306,Don't know,Some of them,Yes,No,No,306
307,Don't know,Some of them,Some of them,No,No,307
308,Don't know,Some of them,Yes,No,No,308
309,Don't know,Some of them,Yes,No,Maybe,309
310,Don't know,No,No,No,Maybe,310
311,Don't know,Some of them,Yes,No,No,311
312,Don't know,Some of them,Yes,No,No,312
313,Don't know,No,No,No,No,313
314,Don't know,Yes,Yes,Maybe,Maybe,314
315,Don't know,Some of them,Some of them,No,No,315
316,Don't know,No,No,No,Maybe,316
317,Yes,Some of them,Yes,Maybe,Maybe,317
318,Yes,No,Some of them,No,No,318
319,Don't know,Some of them,Some of them,No,No,319
320,Yes,Some of them,Yes,Maybe,Maybe,320
321,Don't know,Some of them,Some of them,No,Maybe,321
322,Yes,Some of them,Yes,Maybe,Maybe,322
323,Yes,Some of them,No,No,Maybe,323
324,Don't know,No,No,No,No,324
325,Don't know,No,No,No,Maybe,325
326,Yes,No,Some of them,No,No,326
327,Don't know,Yes,Yes,No,No,327
328,Don't know,Some of them,Some of them,No,Maybe,328
329,Don't know,No,No,Maybe,No,329
330,Yes,Some of them,Some of them,No,Maybe,330
331,Don't know,Some of them,No,No,No,331
332,Yes,No,No,No,Yes,332
333,Don't know,No,No,No,No,333
334,Don't know,Some of them,Some of them,Maybe,Maybe,334
335,Don't know,Some of them,Some of them,Maybe,Maybe,335
336,Don't know,No,No,No,Maybe,336
337,Don't know,Some of them,Some of them,No,No,337
338,Yes,No,No,No,Maybe,338
339,Yes,Some of them,Yes,No,Maybe,339
340,Don't know,Yes,Yes,No,No,340
341,Don't know,Some of them,Some of them,No,Maybe,341
342,Don't know,No,No,No,Maybe,342
343,Don't know,Some of them,Some of them,No,No,343
344,Don't know,No,No,No,Maybe,344
345,Yes,Some of them,Yes,No,No,345
346,Don't know,Yes,Yes,Maybe,Yes,346
347,Don't know,No,Yes,No,No,347
348,Don't know,Some of them,No,No,Maybe,348
349,Don't know,Some of them,Some of them,No,No,349
350,Don't know,Yes,Yes,Maybe,Maybe,350
351,Yes,No,No,No,Yes,351
352,Don't know,Some of them,Yes,No,Maybe,352
353,Don't know,Some of them,No,No,No,353
354,Don't know,Some of them,Yes,No,No,354
355,Yes,Some of them,No,No,No,355
356,Don't know,Some of them,Some of them,No,No,356
357,Yes,No,No,No,No,357
358,Don't know,Some of them,Some of them,No,Maybe,358
359,Yes,Yes,Yes,Maybe,Maybe,359
360,Don't know,Some of them,Some of them,No,No,360
361,Don't know,Yes,Yes,No,Maybe,361
362,No,Some of them,Yes,No,Yes,362
363,Yes,Some of them,Yes,No,Yes,363
364,Don't know,Some of them,No,No,No,364
365,Don't know,No,No,No,No,365
366,Yes,Some of them,Yes,No,No,366
367,Yes,Some of them,Some of them,No,No,367
368,Yes,Yes,Yes,Maybe,Maybe,368
369,No,Some of them,No,No,Maybe,369
370,Yes,No,Some of them,No,No,370
371,Don't know,Yes,Some of them,No,Maybe,371
372,Yes,Yes,Yes,No,No,372
373,Yes,Some of them,Yes,No,Maybe,373
374,Don't know,Some of them,No,No,Yes,374
375,Don't know,No,Some of them,No,Maybe,375
376,Yes,No,No,No,No,376
377,Don't know,Some of them,Yes,No,No,377
378,Yes,Some of them,Some of them,No,No,378
379,Yes,No,No,No,No,379
380,Don't know,Some of them,Some of them,No,No,380
381,Yes,Some of them,Yes,No,Maybe,381
382,Don't know,Yes,Yes,No,No,382
383,Yes,Yes,Yes,No,Yes,383
384,Don't know,Some of them,No,No,No,384
385,Don't know,No,Yes,No,No,385
386,Don't know,Some of them,Yes,Maybe,Maybe,386
387,Don't know,Some of them,No,No,Maybe,387
388,Don't know,Some of them,No,No,Maybe,388
389,Yes,Some of them,No,No,Yes,389
390,No,No,No,Yes,No,390
391,Don't know,No,No,No,No,391
392,Don't know,Some of them,No,No,No,392
393,Don't know,Yes,Yes,No,No,393
394,No,No,No,No,Maybe,394
395,Don't know,Some of them,Some of them,No,No,395
396,Don't know,No,No,No,No,396
397,Don't know,Some of them,Yes,No,Maybe,397
398,Don't know,No,Some of them,No,Maybe,398
399,Yes,Some of them,Some of them,No,Maybe,399
400,Don't know,Some of them,Yes,No,No,400
401,Don't know,Some of them,No,No,Maybe,401
402,Don't know,Some of them,Yes,No,Maybe,402
403,Don't know,Some of them,Some of them,No,Maybe,403
404,Don't know,Some of them,Some of them,Maybe,Maybe,404
405,Yes,Some of them,Yes,Maybe,Maybe,405
406,Don't know,Yes,Some of them,No,No,406
407,Don't know,Some of them,No,No,Maybe,407
408,Don't know,Yes,Yes,Maybe,No,408
409,Don't know,No,No,No,No,409
410,Don't know,No,No,No,No,410
411,Don't know,No,No,No,Maybe,411
412,Don't know,Some of them,Some of them,No,Maybe,412
413,Don't know,No,No,No,Yes,413
414,Don't know,Some of them,Some of them,No,No,414
415,Don't know,Some of them,Yes,No,No,415
416,Don't know,Yes,Yes,Maybe,Maybe,416
417,Don't know,Some of them,Yes,Maybe,Maybe,417
418,Don't know,Yes,Yes,No,Maybe,418
419,Don't know,No,No,No,No,419
420,Yes,Yes,Yes,No,No,420
421,Don't know,Some of them,No,No,Yes,421
422,Don't know,Yes,Yes,Yes,Yes,422
423,Don't know,Some of them,Yes,No,No,423
424,Don't know,No,No,No,No,424
425,Yes,Some of them,Some of them,Maybe,Maybe,425
426,Don't know,Some of them,Some of them,No,Maybe,426
427,Don't know,Some of them,No,No,No,427
428,Don't know,Yes,No,No,Yes,428
429,Yes,Some of them,Some of them,Yes,Yes,429
430,Don't know,Some of them,Yes,No,No,430
431,Don't know,No,Some of them,No,Yes,431
432,Yes,Some of them,Some of them,Yes,Yes,432
433,Don't know,Yes,Yes,No,Maybe,433
434,Don't know,Some of them,Some of them,No,No,434
435,Don't know,Some of them,Yes,No,No,435
436,Don't know,Some of them,Yes,No,No,436
437,Yes,Some of them,Yes,No,No,437
438,Don't know,Some of them,No,No,Maybe,438
439,Yes,Yes,Yes,Maybe,Maybe,439
440,Don't know,No,No,No,Maybe,440
441,Don't know,No,No,No,No,441
442,Yes,Some of them,Yes,Maybe,Yes,442
443,Don't know,Some of them,Yes,No,No,443
444,Yes,Yes,Yes,No,No,444
445,Don't know,Some of them,Some of them,No,Maybe,445
446,Don't know,Some of them,Some of them,No,Maybe,446
447,Don't know,Some of them,Some of them,No,No,447
448,Don't know,Some of them,Yes,No,No,448
449,Don't know,Some of them,Some of them,No,No,449
450,Yes,Yes,Yes,Maybe,Maybe,450
451,Yes,No,Some of them,No,Maybe,451
452,Don't know,Some of them,No,No,No,452
453,Don't know,Some of them,No,No,No,453
454,Don't know,No,No,No,Yes,454
455,Yes,Yes,Yes,Maybe,Yes,455
456,Don't know,Some of them,Some of them,No,Maybe,456
457,Yes,No,No,No,Maybe,457
458,Don't know,Some of them,No,No,Yes,458
459,Don't know,Some of them,Some of them,No,No,459
460,Don't know,Some of them,Yes,Maybe,Maybe,460
461,Don't know,Some of them,Yes,No,No,461
462,Don't know,Some of them,No,No,No,462
463,Don't know,Some of them,No,No,Maybe,463
464,Don't know,Some of them,Yes,No,Maybe,464
465,Yes,Some of them,Yes,No,Maybe,465
466,Don't know,Some of them,Yes,No,Maybe,466
467,No,No,Some of them,No,Maybe,467
468,Don't know,Yes,Yes,Maybe,Maybe,468
469,Yes,Some of them,No,No,Maybe,469
470,Yes,Some of them,Yes,No,No,470
471,Yes,Some of them,Yes,No,Yes,471
472,Don't know,No,No,No,Maybe,472
473,Don't know,Some of them,Some of them,No,Maybe,473
474,Don't know,Some of them,Yes,No,Maybe,474
475,Don't know,No,No,No,Maybe,475
476,Don't know,Some of them,No,No,No,476
477,Don't know,Yes,Yes,Maybe,Yes,477
478,Don't know,No,No,No,Maybe,478
479,Don't know,Some of them,Yes,No,Maybe,479
480,Don't know,Yes,Yes,Maybe,Yes,480
481,Yes,No,No,No,Yes,481
482,Don't know,Some of them,Some of them,Maybe,Maybe,482
483,Don't know,Some of them,No,No,Maybe,483
484,Don't know,No,No,No,Maybe,484
485,Don't know,Some of them,Some of them,No,Yes,485
486,Don't know,Some of them,No,No,Maybe,486
487,Yes,Yes,Yes,No,No,487
488,Yes,Some of them,Yes,No,Maybe,488
489,Don't know,Some of them,Some of them,No,No,489
490,Yes,No,Some of them,No,No,490
491,Don't know,Some of them,Some of them,No,No,491
492,Don't know,Some of them,No,No,Maybe,492
493,Don't know,Some of them,Some of them,No,No,493
494,Don't know,Some of them,No,No,No,494
495,Don't know,Some of them,Some of them,No,No,495
496,Don't know,Some of them,No,No,No,496
497,Yes,Some of them,No,No,Maybe,497
498,Yes,Yes,Yes,Maybe,Maybe,498
499,Don't know,Some of them,Some of them,No,Maybe,499
500,Yes,No,No,No,No,500
501,No,Some of them,No,No,Maybe,501
502,Don't know,No,Some of them,No,Maybe,502
503,Don't know,Yes,Yes,No,Yes,503
504,Don't know,No,No,No,Maybe,504
505,Don't know,Some of them,No,No,No,505
506,Don't know,Yes,Yes,Maybe,Yes,506
507,Don't know,Yes,Yes,Maybe,Maybe,507
508,Don't know,Some of them,Yes,No,Yes,508
509,Yes,Some of them,Yes,No,Maybe,509
510,Don't know,Some of them,Some of them,No,No,510
511,No,Some of them,No,No,No,511
512,Don't know,No,No,No,Maybe,512
513,Yes,Yes,Yes,No,No,513
514,Yes,No,No,No,No,514
515,Don't know,Some of them,No,No,No,515
516,Yes,Some of them,Yes,No,Maybe,516
517,Yes,Yes,Yes,No,No,517
518,Yes,Some of them,Some of them,No,Maybe,518
519,Yes,Yes,Yes,No,No,519
520,Don't know,Some of them,Yes,Maybe,Maybe,520
521,Yes,Some of them,Some of them,No,No,521
522,Don't know,No,No,No,No,522
523,Don't know,No,No,No,No,523
524,Yes,Some of them,Yes,No,Yes,524
525,Yes,Some of them,Some of them,No,No,525
526,Yes,Some of them,Some of them,Maybe,Maybe,526
527,No,No,No,No,No,527
528,Yes,No,Some of them,No,No,528
529,Don't know,Some of them,Yes,No,No,529
530,Don't know,Some of them,Yes,No,Yes,530
531,Don't know,Yes,Yes,Yes,Yes,531
532,No,No,No,No,Maybe,532
533,Don't know,Some of them,Yes,Maybe,Maybe,533
534,Don't know,No,No,No,Maybe,534
535,No,Some of them,Some of them,No,No,535
536,Don't know,Some of them,Yes,No,No,536
537,Don't know,No,No,No,No,537
538,Don't know,Some of them,Some of them,No,No,538
539,Don't know,Some of them,Some of them,No,No,539
540,Don't know,No,No,No,Maybe,540
541,Yes,Yes,Yes,No,No,541
542,Don't know,Yes,Yes,Yes,Yes,542
543,Don't know,Some of them,Some of them,No,No,543
544,Yes,Some of them,Some of them,Yes,No,544
545,Don't know,No,Some of them,No,Yes,545
546,Don't know,Yes,Yes,Maybe,Maybe,546
547,Don't know,Some of them,Yes,No,Yes,547
548,Yes,Some of them,Yes,No,Maybe,548
549,Don't know,Some of them,Some of them,Maybe,Yes,549
550,Don't know,Some of them,Some of them,No,Maybe,550
551,Don't know,Some of them,Yes,Maybe,Yes,551
552,Don't know,Some of them,Some of them,No,No,552
553,Yes,Some of them,Some of them,No,No,553
554,Don't know,Some of them,Some of them,No,Yes,554
555,Don't know,Some of them,Some of them,No,No,555
556,Yes,Some of them,Yes,No,Maybe,556
557,Don't know,Some of them,No,No,Maybe,557
558,Don't know,Some of them,Yes,Maybe,Yes,558
559,Don't know,Some of them,Some of them,No,No,559
560,Don't know,Some of them,No,No,No,560
561,Don't know,Some of them,No,No,No,561
562,Yes,Some of them,Yes,Maybe,Yes,562
563,Don't know,Some of them,Some of them,No,No,563
564,Don't know,Some of them,Some of them,No,No,564
565,Yes,Some of them,No,No,Maybe,565
566,Yes,Yes,Yes,No,Maybe,566
567,Don't know,Yes,Some of them,Maybe,Yes,567
568,Don't know,No,Some of them,No,Yes,568
569,Don't know,Some of them,No,No,No,569
570,Don't know,Some of them,Yes,No,No,570
571,Yes,Yes,Yes,Maybe,Maybe,571
572,Don't know,Some of them,Yes,No,No,572
573,Yes,Yes,Yes,No,No,573
574,Don't know,No,No,No,Maybe,574
575,Don't know,Yes,Yes,No,No,575
576,Don't know,Yes,Yes,No,Maybe,576
577,Yes,Some of them,Yes,No,No,577
578,Yes,Some of them,No,No,Yes,578
579,Don't know,Some of them,Some of them,No,Maybe,579
580,Don't know,Some of them,Some of them,No,No,580
581,Don't know,Some of them,Yes,Maybe,Maybe,581
582,Yes,Some of them,No,No,Maybe,582
583,Yes,Some of them,Yes,Maybe,Maybe,583
584,Yes,Some of them,Yes,No,No,584
585,Don't know,Yes,Yes,Maybe,Maybe,585
586,Don't know,Some of them,No,No,Maybe,586
587,Yes,Some of them,Some of them,No,Maybe,587
588,Don't know,Yes,Yes,No,Maybe,588
589,Don't know,Yes,Yes,No,Maybe,589
590,Don't know,Some of them,Some of them,No,Yes,590
591,No,Some of them,Some of them,No,Maybe,591
592,Don't know,Some of them,No,No,Maybe,592
593,Don't know,Some of them,Some of them,No,No,593
594,Don't know,Some of them,Yes,No,Maybe,594
595,Don't know,Some of them,Some of them,No,No,595
596,Don't know,No,No,No,No,596
597,Don't know,No,No,No,Maybe,597
598,Don't know,Yes,Yes,No,No,598
599,Don't know,Some of them,No,No,No,599
600,Don't know,Some of them,Yes,No,No,600
601,Don't know,Yes,Yes,No,Maybe,601
602,Yes,No,No,No,No,602
603,Yes,Yes,Yes,No,No,603
604,Yes,No,No,No,Maybe,604
605,Don't know,Some of them,Some of them,No,No,605
606,Don't know,Some of them,Some of them,No,Maybe,606
607,Don't know,Some of them,No,No,Maybe,607
608,Don't know,Yes,Yes,No,Maybe,608
609,Don't know,No,No,No,Maybe,609
610,Yes,Some of them,Yes,Maybe,Maybe,610
611,Don't know,Some of them,Yes,Maybe,Maybe,611
