conseq_id,mental_health_consequence,phys_health_consequence,obs_consequence,work_interfere,survey_id
263,Maybe,No,No,Rarely,263
264,Maybe,No,No,NA,264
265,No,No,No,NA,265
266,No,No,No,Sometimes,266
267,Maybe,Maybe,Yes,Sometimes,267
268,Maybe,No,No,Often,268
269,No,No,No,Never,269
270,No,No,No,Sometimes,270
271,No,No,No,Never,271
272,No,No,No,NA,272
273,Maybe,Maybe,No,Sometimes,273
274,Yes,No,No,Rarely,274
275,No,No,No,NA,275
276,Maybe,No,No,NA,276
277,Maybe,Maybe,No,Sometimes,277
278,Maybe,No,No,Rarely,278
279,Maybe,No,No,Sometimes,279
280,Maybe,No,Yes,Sometimes,280
281,Yes,No,No,Never,281
282,Yes,No,No,Sometimes,282
283,Yes,No,No,Sometimes,283
284,No,No,No,NA,284
285,Maybe,Maybe,No,Sometimes,285
286,Maybe,No,No,Rarely,286
287,No,No,No,Never,287
288,No,Maybe,Yes,Sometimes,288
289,Maybe,No,No,Rarely,289
290,No,No,No,Never,290
291,Yes,Maybe,No,Never,291
292,Maybe,No,No,Sometimes,292
293,Maybe,No,No,Never,293
294,No,Maybe,No,Never,294
295,Maybe,Maybe,No,NA,295
296,No,No,No,Sometimes,296
297,No,No,No,NA,297
298,Yes,No,No,Sometimes,298
299,No,No,No,Never,299
300,No,No,No,Sometimes,300
301,No,No,No,Sometimes,301
302,No,No,No,Rarely,302
303,Yes,No,No,Often,303
304,No,No,No,Rarely,304
305,Maybe,No,No,Often,305
306,Maybe,No,No,Rarely,306
307,No,No,Yes,NA,307
308,No,No,No,NA,308
309,Maybe,No,No,Sometimes,309
310,Yes,Maybe,No,Often,310
311,No,No,No,Rarely,311
312,Maybe,No,No,Never,312
313,Yes,No,No,Sometimes,313
314,No,No,No,NA,314
315,Maybe,Maybe,No,NA,315
316,Maybe,No,No,NA,316
317,No,No,No,Never,317
318,Maybe,No,Yes,Often,318
319,Maybe,Maybe,No,NA,319
320,No,No,No,Rarely,320
321,Yes,No,No,Sometimes,321
322,No,No,No,Never,322
323,Maybe,No,No,Sometimes,323
324,Maybe,No,No,Rarely,324
325,Maybe,No,No,NA,325
326,Maybe,Maybe,No,Never,326
327,No,No,No,Sometimes,327
328,Maybe,No,No,Never,328
329,Yes,Yes,Yes,Rarely,329
330,No,No,No,NA,330
331,Yes,Maybe,No,Sometimes,331
332,Maybe,No,No,NA,332
333,No,No,No,Often,333
334,Maybe,Maybe,No,NA,334
335,No,No,No,Never,335
336,Yes,Maybe,No,Sometimes,336
337,Maybe,Maybe,No,Sometimes,337
338,Yes,No,No,NA,338
339,No,No,No,NA,339
340,No,No,No,NA,340
341,Yes,Maybe,No,Sometimes,341
342,Yes,No,No,Sometimes,342
343,Maybe,No,No,NA,343
344,Yes,Maybe,No,Rarely,344
345,No,No,No,Sometimes,345
346,No,No,No,Sometimes,346
347,No,No,No,Never,347
348,Maybe,No,No,Sometimes,348
349,Maybe,No,No,Sometimes,349
350,Maybe,No,No,Often,350
351,No,No,No,Sometimes,351
352,No,No,No,Never,352
353,Maybe,No,No,Often,353
354,No,No,No,Sometimes,354
355,No,No,No,Sometimes,355
356,Maybe,No,No,Sometimes,356
357,Maybe,Maybe,No,Sometimes,357
358,Yes,Yes,No,Sometimes,358
359,No,No,No,NA,359
360,Maybe,No,No,NA,360
361,No,No,No,Rarely,361
362,Maybe,No,No,Rarely,362
363,No,No,No,Rarely,363
364,Maybe,No,No,Often,364
365,Maybe,Maybe,No,Sometimes,365
366,No,No,No,NA,366
367,No,No,No,Often,367
368,No,No,No,Rarely,368
369,Yes,No,No,Sometimes,369
370,No,No,No,NA,370
371,Maybe,No,Yes,Often,371
372,No,No,No,Rarely,372
373,Maybe,No,No,Sometimes,373
374,Yes,No,No,Rarely,374
375,Maybe,No,No,Never,375
376,Yes,Maybe,No,Rarely,376
377,Maybe,No,No,Sometimes,377
378,Maybe,Maybe,No,Rarely,378
379,Maybe,No,No,Never,379
380,No,No,No,Never,380
381,No,No,No,Rarely,381
382,No,No,No,Sometimes,382
383,No,No,No,Often,383
384,Yes,Yes,No,Sometimes,384
385,Maybe,Maybe,No,Rarely,385
386,No,No,No,Never,386
387,Yes,No,No,Sometimes,387
388,Yes,No,No,Sometimes,388
389,Maybe,No,No,Rarely,389
390,Yes,Yes,Yes,Often,390
391,Maybe,Maybe,No,Rarely,391
392,Yes,No,No,Never,392
393,No,No,No,Often,393
394,Yes,Maybe,Yes,NA,394
395,Maybe,No,No,Never,395
396,Maybe,Maybe,No,NA,396
397,Maybe,Maybe,Yes,Sometimes,397
398,Maybe,No,No,Never,398
399,Maybe,No,No,Sometimes,399
400,Maybe,No,No,Often,400
401,Maybe,No,No,Sometimes,401
402,No,No,No,NA,402
403,Maybe,Maybe,Yes,Sometimes,403
404,Maybe,No,No,Sometimes,404
405,No,No,No,NA,405
406,Yes,Maybe,No,Never,406
407,Yes,No,No,NA,407
408,No,No,No,Never,408
409,Yes,Maybe,No,NA,409
410,Yes,No,No,Often,410
411,Yes,Maybe,No,Rarely,411
412,No,No,Yes,Never,412
413,Yes,Maybe,No,Sometimes,413
414,No,No,No,Sometimes,414
415,Maybe,No,No,Often,415
416,No,No,No,Sometimes,416
417,No,No,No,NA,417
418,No,No,No,Never,418
419,Yes,Maybe,Yes,Sometimes,419
420,No,No,No,Rarely,420
421,No,No,No,NA,421
422,No,No,No,Sometimes,422
423,No,No,No,Sometimes,423
424,Maybe,No,No,Rarely,424
425,No,No,No,Sometimes,425
426,Yes,No,Yes,Sometimes,426
427,Maybe,No,No,NA,427
428,No,No,No,NA,428
429,No,No,No,NA,429
430,Maybe,No,No,Never,430
431,Yes,No,No,Rarely,431
432,Yes,Maybe,No,Often,432
433,Maybe,No,No,Sometimes,433
434,Maybe,Maybe,No,Sometimes,434
435,No,No,No,Never,435
436,No,No,Yes,NA,436
437,No,No,No,NA,437
438,Maybe,No,No,Sometimes,438
439,No,No,No,Rarely,439
440,Maybe,Maybe,No,Sometimes,440
441,Maybe,No,No,Rarely,441
442,Maybe,No,Yes,Sometimes,442
443,No,No,No,NA,443
444,No,No,No,Sometimes,444
445,Yes,No,Yes,Often,445
446,Maybe,No,Yes,NA,446
447,Yes,Maybe,Yes,Sometimes,447
448,No,No,No,Rarely,448
449,Maybe,Maybe,No,Rarely,449
450,No,No,No,Often,450
451,Yes,Maybe,No,Never,451
452,Yes,No,Yes,Often,452
453,Yes,Yes,No,Sometimes,453
454,Yes,No,No,Sometimes,454
455,No,No,No,Sometimes,455
456,Maybe,No,No,Rarely,456
457,Yes,No,No,Never,457
458,Maybe,No,No,Never,458
459,Maybe,Maybe,No,NA,459
460,No,No,No,NA,460
461,Maybe,No,No,Never,461
462,Yes,Maybe,No,Sometimes,462
463,Maybe,Maybe,No,Never,463
464,Yes,No,No,Sometimes,464
465,Maybe,Maybe,No,Sometimes,465
466,Maybe,No,No,Rarely,466
467,Yes,Maybe,No,Sometimes,467
468,Maybe,No,No,Never,468
469,Yes,No,No,Rarely,469
470,No,No,No,Sometimes,470
471,Maybe,No,No,Rarely,471
472,Yes,No,No,Sometimes,472
473,Yes,No,Yes,Sometimes,473
474,Maybe,No,No,Sometimes,474
475,Maybe,Maybe,No,Sometimes,475
476,Yes,Maybe,Yes,Sometimes,476
477,No,Maybe,No,Often,477
478,Yes,No,No,NA,478
479,Maybe,No,No,NA,479
480,No,No,No,Never,480
481,Yes,Maybe,No,Sometimes,481
482,Maybe,Maybe,No,Sometimes,482
483,Maybe,No,No,Rarely,483
484,Maybe,No,No,Never,484
485,Maybe,No,Yes,Sometimes,485
486,Yes,Maybe,No,Sometimes,486
487,No,No,No,Often,487
488,Maybe,No,No,Sometimes,488
489,Maybe,Maybe,No,Never,489
490,No,No,No,NA,490
491,No,No,No,Rarely,491
492,Yes,No,Yes,NA,492
493,No,No,Yes,Sometimes,493
494,Maybe,No,No,NA,494
495,Maybe,No,Yes,Often,495
496,Yes,Maybe,Yes,Sometimes,496
497,Yes,No,Yes,Often,497
498,No,No,No,Sometimes,498
499,No,No,No,Rarely,499
500,Maybe,Maybe,No,NA,500
501,Yes,Maybe,Yes,NA,501
502,No,No,No,NA,502
503,No,No,No,Never,503
504,Yes,Maybe,No,Sometimes,504
505,Maybe,No,No,Sometimes,505
506,Maybe,No,No,Never,506
507,No,No,No,Sometimes,507
508,No,No,No,Sometimes,508
509,No,No,No,NA,509
510,No,No,No,Sometimes,510
511,Maybe,No,No,Sometimes,511
512,Maybe,No,No,NA,512
513,No,No,No,Never,513
514,Yes,No,No,Sometimes,514
515,Maybe,No,No,NA,515
516,No,No,No,Rarely,516
517,Maybe,No,Yes,Sometimes,517
518,Yes,Yes,No,Sometimes,518
519,Maybe,Maybe,No,Often,519
520,Maybe,No,No,Never,520
521,Maybe,Maybe,No,NA,521
522,Maybe,Maybe,No,NA,522
523,Maybe,Yes,Yes,Rarely,523
524,Maybe,No,No,Sometimes,524
525,Maybe,Maybe,No,Rarely,525
526,No,No,No,Sometimes,526
527,Yes,Yes,Yes,Sometimes,527
528,No,No,No,Sometimes,528
529,Maybe,Maybe,No,Sometimes,529
530,No,No,No,NA,530
531,No,No,No,Rarely,531
532,Yes,Maybe,No,Sometimes,532
533,No,No,No,Rarely,533
534,Yes,Maybe,No,Never,534
535,Yes,No,No,Sometimes,535
536,Yes,No,No,Often,536
537,Maybe,No,No,Never,537
538,Maybe,Maybe,No,Never,538
539,No,No,Yes,Sometimes,539
540,Maybe,No,No,Often,540
541,No,No,No,Rarely,541
542,No,No,No,Never,542
543,Yes,Yes,Yes,Often,543
544,Yes,Yes,Yes,Rarely,544
545,Maybe,No,No,NA,545
546,No,No,No,Never,546
547,Yes,No,No,Sometimes,547
548,No,No,No,NA,548
549,Maybe,No,No,Often,549
550,Maybe,No,No,NA,550
551,No,No,No,Sometimes,551
552,Maybe,No,No,Sometimes,552
553,Maybe,No,No,Sometimes,553
554,Maybe,Maybe,No,Rarely,554
555,Maybe,No,No,Often,555
556,No,No,No,Sometimes,556
557,Yes,No,No,NA,557
558,No,No,No,Sometimes,558
559,Maybe,Maybe,No,NA,559
560,Maybe,No,No,NA,560
561,No,No,No,Sometimes,561
562,No,No,No,Never,562
563,No,No,No,Rarely,563
564,No,No,No,Never,564
565,Maybe,No,No,Sometimes,565
566,Yes,Maybe,No,Sometimes,566
567,No,No,No,Sometimes,567
568,Maybe,No,No,Sometimes,568
569,Maybe,Maybe,No,Sometimes,569
570,Maybe,No,No,Rarely,570
571,Maybe,Maybe,No,Often,571
572,No,No,No,Sometimes,572
573,No,No,Yes,Sometimes,573
574,No,No,No,Never,574
575,No,No,No,Never,575
576,No,No,No,NA,576
577,No,No,No,Sometimes,577
578,Yes,No,No,Never,578
579,Maybe,No,No,Sometimes,579
580,Maybe,Maybe,Yes,Often,580
581,No,No,No,NA,581
582,Maybe,No,Yes,Never,582
583,No,No,No,Never,583
584,Yes,No,No,Sometimes,584
585,Maybe,Maybe,No,Never,585
586,Maybe,No,Yes,Often,586
587,Maybe,No,Yes,Never,587
588,Maybe,No,No,Sometimes,588
589,No,No,No,Sometimes,589
590,Maybe,No,Yes,Sometimes,590
591,Yes,No,No,Sometimes,591
592,Maybe,Maybe,No,Sometimes,592
593,Maybe,No,No,Sometimes,593
594,No,No,No,Never,594
595,No,No,No,Rarely,595
596,Yes,Maybe,Yes,Sometimes,596
597,Yes,No,No,NA,597
598,No,No,No,NA,598
599,Yes,Yes,Yes,Rarely,599
600,No,No,No,Often,600
601,No,No,No,NA,601
602,Yes,Yes,No,Sometimes,602
603,No,No,No,Often,603
604,Maybe,Maybe,No,NA,604
605,Maybe,Maybe,No,Sometimes,605
606,Yes,Maybe,No,Sometimes,606
607,Maybe,Yes,No,Never,607
608,No,No,No,NA,608
609,Yes,No,No,Never,609
610,No,No,No,Sometimes,610
611,No,No,No,Rarely,611
612,Maybe,No,No,Often,612
613,Maybe,No,Yes,Sometimes,613
614,Yes,Maybe,No,Rarely,614
615,No,No,No,Often,615
616,No,No,No,Never,616
617,Yes,No,No,Rarely,617
618,Maybe,Maybe,No,Often,618
619,No,No,No,Sometimes,619
620,No,No,No,Sometimes,620
621,No,Maybe,Yes,Never,621
622,Maybe,No,No,Often,622
623,Yes,Maybe,No,Sometimes,623
624,No,No,No,Sometimes,624
625,Maybe,No,No,Rarely,625
626,Yes,Maybe,No,Sometimes,626
627,No,No,No,Sometimes,627
628,Yes,Maybe,Yes,Sometimes,628
629,Yes,No,Yes,Sometimes,629
630,Maybe,No,No,Sometimes,630
631,Yes,Maybe,No,Rarely,631
632,No,No,No,Sometimes,632
633,Maybe,No,No,Sometimes,633
634,No,No,No,Rarely,634
635,No,No,No,Never,635
636,No,No,Yes,Often,636
637,No,No,No,Often,637
638,No,No,No,NA,638
639,Yes,Yes,Yes,Sometimes,639
640,No,No,No,NA,640
641,Maybe,No,No,NA,641
642,Yes,No,Yes,Sometimes,642
643,Yes,Maybe,Yes,Never,643
644,Maybe,No,Yes,Rarely,644
645,Yes,Maybe,No,Never,645
646,Maybe,No,No,Sometimes,646
647,No,No,No,Sometimes,647
648,No,No,No,Sometimes,648
649,No,No,No,Often,649
650,No,No,No,Rarely,650
651,Maybe,Maybe,No,Never,651
652,No,No,Yes,Sometimes,652
653,Yes,Maybe,Yes,Never,653
654,Maybe,No,No,Never,654
655,Maybe,No,No,NA,655
656,No,Maybe,No,Rarely,656
657,No,No,No,Never,657
658,Maybe,No,No,Sometimes,658
659,No,No,No,NA,659
660,No,No,No,Rarely,660
661,No,No,No,Never,661
662,Maybe,Maybe,No,Never,662
663,Maybe,No,No,Never,663
664,No,No,No,Sometimes,664
665,Maybe,Maybe,No,Sometimes,665
666,Maybe,Maybe,Yes,NA,666
667,No,No,No,NA,667
668,Maybe,Maybe,No,Never,668
669,No,No,No,NA,669
670,No,No,No,Never,670
671,Maybe,No,No,Sometimes,671
672,No,No,No,NA,672
673,Maybe,No,No,Never,673
674,Maybe,Maybe,No,Sometimes,674
675,No,No,No,Sometimes,675
676,Maybe,Maybe,No,NA,676
677,Yes,No,No,Rarely,677
678,No,No,No,NA,678
679,No,No,No,Often,679
680,Maybe,No,Yes,Rarely,680
681,No,No,No,Sometimes,681
682,Maybe,Maybe,No,Often,682
683,No,No,No,Rarely,683
684,Yes,Maybe,No,NA,684
685,Yes,Maybe,No,Sometimes,685
686,No,No,No,Rarely,686
687,Maybe,Maybe,No,Sometimes,687
688,Maybe,No,No,NA,688
689,No,No,No,Sometimes,689
690,Maybe,Maybe,No,Sometimes,690
691,No,No,No,Never,691
692,No,No,No,NA,692
693,No,No,No,NA,693
694,Yes,No,No,NA,694
695,No,No,No,Sometimes,695
696,Maybe,Maybe,No,NA,696
697,Yes,Maybe,No,NA,697
698,Maybe,Maybe,No,NA,698
699,Maybe,Maybe,No,NA,699
700,Maybe,No,No,NA,700
701,No,No,Yes,Rarely,701
702,Maybe,No,No,Sometimes,702
703,No,No,No,Often,703
704,Yes,No,No,Sometimes,704
705,Maybe,No,Yes,Rarely,705
706,Yes,Yes,No,Never,706
707,No,No,No,Sometimes,707
708,Yes,No,No,NA,708
709,No,No,No,Often,709
710,Maybe,Maybe,No,NA,710
711,No,No,No,NA,711
712,No,No,No,Never,712
713,Maybe,No,No,Never,713
714,Yes,Maybe,No,Sometimes,714
715,Yes,No,No,Sometimes,715
716,Maybe,Maybe,No,NA,716
717,No,No,No,NA,717
718,No,No,No,NA,718
719,No,No,No,NA,719
720,Maybe,No,No,NA,720
721,Yes,No,Yes,Sometimes,721
722,Maybe,Maybe,No,NA,722
723,Yes,No,No,Never,723
724,No,No,No,Sometimes,724
725,No,No,No,Never,725
726,Maybe,Maybe,No,Rarely,726
727,Yes,Yes,No,Sometimes,727
728,No,No,No,NA,728
729,Yes,No,Yes,Sometimes,729
730,Yes,No,No,Often,730
731,Maybe,No,No,NA,731
732,No,No,No,NA,732
733,No,No,No,NA,733
734,No,No,No,NA,734
735,No,No,No,Never,735
736,No,No,No,NA,736
737,Maybe,No,No,Sometimes,737
738,Maybe,No,No,NA,738
739,Yes,Maybe,No,Sometimes,739
740,No,No,Yes,Sometimes,740
741,Yes,Maybe,No,NA,741
742,No,No,No,Sometimes,742
743,Maybe,No,No,Sometimes,743
744,Maybe,Maybe,No,Sometimes,744
745,No,No,No,Sometimes,745
746,No,No,No,NA,746
747,Maybe,No,No,NA,747
748,No,No,No,Rarely,748
749,No,No,No,Sometimes,749
750,No,No,No,NA,750
751,No,No,No,NA,751
752,Maybe,No,No,Sometimes,752
753,No,No,No,Never,753
754,No,No,No,Never,754
755,Maybe,No,No,Sometimes,755
756,Maybe,No,No,Sometimes,756
757,Yes,Maybe,No,Sometimes,757
758,Maybe,Maybe,No,Rarely,758
759,Yes,No,Yes,Often,759
760,No,No,No,Sometimes,760
761,Maybe,Maybe,No,Rarely,761
762,No,No,No,Sometimes,762
763,Yes,Yes,No,Sometimes,763
764,Yes,No,No,Sometimes,764
765,No,No,No,NA,765
766,Maybe,Yes,No,Sometimes,766
767,No,No,No,Never,767
768,Maybe,Maybe,No,Never,768
769,No,No,No,Never,769
770,Maybe,Maybe,No,Sometimes,770
771,Maybe,Maybe,No,Sometimes,771
772,Maybe,No,No,NA,772
773,No,No,No,NA,773
774,Yes,No,Yes,Rarely,774
775,Yes,No,Yes,Sometimes,775
776,Maybe,No,No,Sometimes,776
777,No,No,Yes,Sometimes,777
778,Maybe,No,No,NA,778
779,No,No,No,NA,779
780,No,No,No,Never,780
781,No,No,No,Sometimes,781
782,No,No,No,Sometimes,782
783,No,No,No,NA,783
784,No,No,No,NA,784
785,Maybe,No,Yes,Sometimes,785
786,No,No,No,NA,786
787,Maybe,No,No,Sometimes,787
788,Maybe,No,No,NA,788
789,No,No,No,Never,789
790,No,No,Yes,Rarely,790
791,Maybe,Maybe,No,Sometimes,791
792,Yes,No,Yes,Often,792
793,Yes,Maybe,Yes,Sometimes,793
794,Yes,Maybe,Yes,Sometimes,794
795,Maybe,No,Yes,Never,795
796,Yes,No,No,Often,796
797,Maybe,No,Yes,NA,797
798,Maybe,No,No,NA,798
799,Maybe,No,No,Sometimes,799
800,Yes,Maybe,No,Never,800
801,No,No,No,Sometimes,801
802,Yes,Maybe,No,NA,802
803,No,No,No,NA,803
804,Maybe,Maybe,No,NA,804
805,Yes,Maybe,Yes,Sometimes,805
806,Maybe,No,Yes,Sometimes,806
807,No,No,No,NA,807
808,No,No,No,NA,808
809,Maybe,No,No,Sometimes,809
810,Maybe,No,No,Never,810
811,No,No,No,Sometimes,811
812,Yes,No,Yes,Often,812
813,Maybe,Maybe,No,Never,813
814,Maybe,No,No,Sometimes,814
815,Yes,No,No,Sometimes,815
816,Maybe,No,No,Sometimes,816
817,Yes,Yes,No,Sometimes,817
818,No,No,No,Sometimes,818
819,No,No,No,Often,819
820,Yes,Maybe,No,Sometimes,820
821,No,No,No,Often,821
822,Yes,Yes,No,Never,822
823,No,No,No,NA,823
