company_id,no_of_employees,tech_company,benefits,care_options,wellness_program,leave,mental_vs_physical,survey_id
37,100-500,Yes,No,Yes,No,Somewhat easy,No,37
38,100-500,Yes,Yes,Yes,No,Don't know,Don't know,38
39,More than 1000,Yes,Yes,Yes,No,Very easy,Yes,39
40,6-25,Yes,No,No,No,Don't know,No,40
41,More than 1000,Yes,Yes,Not sure,Don't know,Somewhat difficult,Don't know,41
42,1-5,Yes,No,Yes,No,Very difficult,Yes,42
43,6-25,Yes,No,Not sure,No,Somewhat difficult,No,43
44,26-100,Yes,Don't know,No,No,Don't know,Don't know,44
45,26-100,Yes,Yes,Yes,No,Somewhat easy,Yes,45
46,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,46
47,6-25,Yes,No,No,No,Don't know,Don't know,47
48,1-5,Yes,No,Yes,Yes,Don't know,Yes,48
49,26-100,Yes,Yes,No,No,Don't know,Don't know,49
50,6-25,Yes,No,Yes,No,Very difficult,Don't know,50
51,100-500,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,51
52,100-500,Yes,Don't know,No,Don't know,Don't know,Don't know,52
53,1-5,Yes,Don't know,Not sure,No,Don't know,Don't know,53
54,100-500,Yes,No,No,No,Don't know,Don't know,54
55,26-100,Yes,Yes,Yes,No,Don't know,Don't know,55
56,6-25,Yes,Don't know,No,No,Somewhat easy,Yes,56
57,26-100,Yes,Don't know,No,No,Don't know,No,57
58,26-100,No,No,No,No,Somewhat easy,Don't know,58
59,6-25,Yes,Don't know,No,No,Somewhat difficult,Don't know,59
60,More than 1000,No,Yes,No,No,Don't know,Don't know,60
61,26-100,Yes,Don't know,Not sure,Yes,Very easy,Yes,61
62,100-500,Yes,Yes,Not sure,No,Somewhat easy,Yes,62
63,26-100,Yes,No,No,No,Very easy,No,63
64,6-25,Yes,Don't know,No,No,Somewhat easy,Don't know,64
65,More than 1000,Yes,Yes,Yes,Yes,Don't know,No,65
66,1-5,Yes,No,Not sure,No,Very easy,Yes,66
67,100-500,Yes,Yes,No,Don't know,Don't know,Yes,67
68,26-100,No,Don't know,No,Don't know,Don't know,Don't know,68
69,1-5,Yes,No,No,No,Don't know,Don't know,69
70,26-100,Yes,No,No,No,Don't know,Don't know,70
71,6-25,Yes,Don't know,Not sure,Don't know,Somewhat easy,Don't know,71
72,More than 1000,Yes,Yes,Yes,No,Somewhat difficult,No,72
73,26-100,Yes,No,No,No,Somewhat easy,Yes,73
74,More than 1000,Yes,Don't know,Not sure,Yes,Don't know,Yes,74
75,1-5,Yes,No,Yes,No,Somewhat difficult,No,75
76,More than 1000,Yes,Yes,Yes,Yes,Don't know,Yes,76
77,1-5,Yes,No,No,No,Somewhat difficult,Yes,77
78,26-100,Yes,No,No,No,Somewhat difficult,No,78
79,6-25,Yes,Don't know,No,Don't know,Very easy,Yes,79
80,100-500,Yes,Yes,Yes,No,Don't know,Yes,80
81,26-100,Yes,Yes,Not sure,Yes,Very easy,Yes,81
82,26-100,No,No,No,No,Don't know,No,82
83,1-5,Yes,Yes,Yes,Yes,Very easy,Yes,83
84,More than 1000,Yes,No,No,No,Don't know,No,84
85,26-100,Yes,Don't know,Not sure,No,Don't know,No,85
86,6-25,Yes,No,No,No,Very difficult,No,86
87,500-1000,Yes,Yes,Not sure,No,Don't know,Don't know,87
88,26-100,Yes,Yes,Yes,No,Don't know,No,88
89,500-1000,Yes,Don't know,No,No,Don't know,Don't know,89
90,500-1000,Yes,Yes,Yes,Yes,Somewhat easy,Yes,90
91,26-100,Yes,No,Yes,No,Very difficult,No,91
92,26-100,Yes,Don't know,No,No,Somewhat easy,Don't know,92
93,26-100,Yes,Yes,Yes,No,Somewhat easy,Don't know,93
94,26-100,Yes,Yes,Yes,No,Don't know,Don't know,94
95,26-100,Yes,Don't know,No,No,Don't know,No,95
96,26-100,Yes,Don't know,Not sure,No,Somewhat easy,Don't know,96
97,6-25,Yes,Don't know,No,No,Don't know,No,97
98,6-25,Yes,No,Yes,No,Somewhat easy,No,98
99,1-5,Yes,No,Yes,No,Somewhat easy,Yes,99
100,26-100,No,No,Yes,No,Very difficult,No,100
101,100-500,Yes,Yes,Not sure,Don't know,Don't know,Don't know,101
102,26-100,Yes,Don't know,No,Don't know,Very easy,Don't know,102
103,26-100,Yes,Yes,Yes,Yes,Somewhat easy,Yes,103
104,More than 1000,Yes,Yes,Not sure,Yes,Somewhat easy,Don't know,104
105,6-25,Yes,Yes,Not sure,No,Somewhat easy,Don't know,105
106,26-100,Yes,Don't know,Not sure,No,Somewhat easy,No,106
107,6-25,Yes,No,No,No,Don't know,Don't know,107
108,6-25,Yes,Yes,No,No,Don't know,Don't know,108
109,26-100,Yes,Yes,No,Yes,Somewhat difficult,Yes,109
110,500-1000,Yes,Yes,Yes,No,Don't know,No,110
111,26-100,Yes,Yes,Yes,Yes,Somewhat easy,Yes,111
112,6-25,Yes,Yes,Yes,No,Very easy,Yes,112
113,100-500,Yes,Yes,Yes,No,Don't know,Don't know,113
114,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,114
115,6-25,Yes,Don't know,No,No,Very easy,Don't know,115
116,1-5,No,No,Yes,No,Very difficult,No,116
117,6-25,No,Yes,Yes,Yes,Very easy,Don't know,117
118,1-5,Yes,No,No,No,Very easy,Don't know,118
119,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,119
120,More than 1000,Yes,Yes,Yes,No,Don't know,Don't know,120
121,26-100,Yes,Don't know,No,No,Very easy,Don't know,121
122,6-25,Yes,Don't know,No,Don't know,Very easy,Yes,122
123,6-25,Yes,Yes,No,No,Don't know,Don't know,123
124,100-500,No,Yes,Not sure,No,Very difficult,No,124
125,500-1000,Yes,Yes,No,Yes,Don't know,Don't know,125
126,6-25,Yes,No,No,No,Don't know,Don't know,126
127,100-500,Yes,Yes,Yes,No,Don't know,Don't know,127
128,6-25,Yes,No,No,No,Somewhat easy,Yes,128
129,6-25,Yes,Don't know,No,No,Somewhat easy,Don't know,129
130,More than 1000,Yes,Yes,Yes,No,Very easy,No,130
131,1-5,Yes,No,Yes,No,Very difficult,Don't know,131
132,26-100,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,132
133,26-100,Yes,No,Yes,No,Somewhat easy,No,133
134,26-100,Yes,Don't know,No,No,Don't know,Don't know,134
135,26-100,No,No,No,No,Don't know,Don't know,135
136,6-25,Yes,Don't know,No,No,Very easy,Yes,136
137,More than 1000,Yes,Yes,Not sure,No,Somewhat easy,Don't know,137
138,6-25,Yes,Don't know,No,No,Somewhat easy,Don't know,138
139,6-25,Yes,Don't know,No,Don't know,Somewhat easy,Don't know,139
140,100-500,Yes,Don't know,No,Don't know,Don't know,Don't know,140
141,More than 1000,No,No,Yes,Yes,Very difficult,Yes,141
142,26-100,No,Don't know,Not sure,Don't know,Don't know,Don't know,142
143,More than 1000,No,Yes,No,Don't know,Don't know,Don't know,143
144,More than 1000,Yes,Don't know,Not sure,No,Don't know,Don't know,144
145,100-500,No,Yes,Yes,Yes,Somewhat easy,Don't know,145
146,6-25,Yes,No,No,No,Don't know,Don't know,146
147,6-25,No,No,No,No,Somewhat easy,No,147
148,100-500,Yes,No,Yes,Yes,Somewhat easy,No,148
149,100-500,Yes,Don't know,Not sure,No,Don't know,Don't know,149
150,1-5,Yes,Don't know,Not sure,No,Somewhat easy,Don't know,150
151,26-100,Yes,Don't know,Not sure,No,Very easy,No,151
152,6-25,Yes,No,No,No,Don't know,Yes,152
153,6-25,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,153
154,More than 1000,No,Yes,Yes,Yes,Somewhat difficult,No,154
155,26-100,No,Don't know,No,No,Somewhat difficult,No,155
156,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,156
157,26-100,No,Don't know,Not sure,No,Don't know,No,157
158,26-100,Yes,No,Yes,No,Somewhat difficult,Don't know,158
159,26-100,Yes,Don't know,Not sure,No,Very easy,Don't know,159
160,More than 1000,No,Yes,Yes,Yes,Somewhat easy,Don't know,160
161,500-1000,Yes,Yes,No,No,Don't know,Don't know,161
162,More than 1000,Yes,Yes,No,No,Don't know,Don't know,162
163,6-25,Yes,Don't know,No,No,Don't know,Don't know,163
164,1-5,Yes,No,Yes,Yes,Very difficult,Yes,164
165,1-5,Yes,No,Yes,No,Somewhat easy,Yes,165
166,26-100,Yes,No,No,No,Very easy,Don't know,166
167,6-25,Yes,No,Yes,No,Very difficult,No,167
168,1-5,Yes,No,No,No,Very difficult,No,168
169,100-500,Yes,Don't know,Not sure,Yes,Very easy,Don't know,169
170,More than 1000,Yes,Yes,Yes,Don't know,Somewhat easy,Don't know,170
171,6-25,Yes,Don't know,No,No,Don't know,Don't know,171
172,More than 1000,Yes,Don't know,Not sure,No,Very difficult,No,172
173,6-25,Yes,Don't know,No,No,Don't know,Yes,173
174,More than 1000,No,Yes,Yes,Yes,Somewhat easy,No,174
175,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,175
176,100-500,No,No,Not sure,No,Somewhat easy,Yes,176
177,6-25,Yes,Yes,Not sure,Don't know,Very easy,Yes,177
178,1-5,Yes,Yes,No,No,Somewhat difficult,Yes,178
179,6-25,Yes,Don't know,No,No,Very easy,Don't know,179
180,6-25,Yes,No,No,No,Don't know,No,180
181,6-25,No,No,No,No,Somewhat easy,Don't know,181
182,26-100,Yes,Don't know,No,No,Somewhat easy,Don't know,182
183,More than 1000,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,183
184,More than 1000,Yes,Yes,Not sure,No,Very difficult,No,184
185,500-1000,Yes,Yes,No,No,Don't know,No,185
186,6-25,Yes,Don't know,No,No,Somewhat easy,Yes,186
187,6-25,Yes,No,Yes,No,Somewhat easy,Yes,187
188,1-5,Yes,Don't know,No,No,Don't know,Don't know,188
189,More than 1000,Yes,Yes,Not sure,Don't know,Somewhat easy,Don't know,189
190,1-5,Yes,No,Yes,No,Somewhat easy,Don't know,190
191,26-100,Yes,Yes,No,No,Somewhat easy,No,191
192,26-100,Yes,No,No,No,Don't know,Don't know,192
193,6-25,Yes,No,No,No,Don't know,Don't know,193
194,100-500,Yes,No,No,No,Very difficult,No,194
195,6-25,Yes,No,No,No,Somewhat easy,Don't know,195
196,500-1000,Yes,Don't know,Not sure,No,Don't know,Don't know,196
197,More than 1000,Yes,Yes,No,No,Somewhat easy,No,197
198,6-25,Yes,Yes,Yes,No,Somewhat easy,Yes,198
199,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,199
200,26-100,Yes,Yes,No,No,Very easy,Yes,200
201,500-1000,No,Yes,Yes,Yes,Somewhat easy,Yes,201
202,6-25,Yes,No,Not sure,No,Very difficult,Don't know,202
203,1-5,Yes,No,Yes,No,Very difficult,Don't know,203
204,100-500,Yes,Don't know,No,Don't know,Very easy,Yes,204
205,100-500,Yes,Don't know,Not sure,No,Somewhat difficult,No,205
206,6-25,Yes,No,Yes,No,Somewhat difficult,Yes,206
207,26-100,Yes,No,Yes,No,Somewhat easy,Don't know,207
208,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,208
209,100-500,Yes,No,No,No,Very easy,Don't know,209
210,26-100,Yes,Yes,Yes,Yes,Somewhat easy,Yes,210
211,26-100,No,No,No,No,Don't know,Don't know,211
212,1-5,Yes,No,No,No,Don't know,Don't know,212
213,6-25,Yes,Don't know,No,No,Don't know,No,213
214,100-500,No,Yes,Yes,Don't know,Very easy,Yes,214
215,1-5,Yes,No,No,Don't know,Very difficult,Don't know,215
216,6-25,Yes,Yes,Yes,No,Very difficult,Yes,216
217,6-25,Yes,Yes,Yes,No,Very easy,Yes,217
218,500-1000,No,Yes,No,No,Somewhat difficult,Don't know,218
219,26-100,Yes,Yes,Not sure,No,Very easy,Don't know,219
220,6-25,Yes,Yes,No,No,Somewhat easy,Yes,220
221,26-100,Yes,Don't know,No,No,Don't know,Don't know,221
222,6-25,Yes,Don't know,No,No,Don't know,Don't know,222
223,More than 1000,Yes,No,Yes,No,Very difficult,No,223
224,26-100,Yes,Don't know,Not sure,Don't know,Don't know,Yes,224
225,1-5,Yes,Don't know,No,Don't know,Very easy,Yes,225
226,1-5,Yes,No,Yes,No,Very difficult,Yes,226
227,1-5,Yes,Don't know,Not sure,Yes,Somewhat difficult,Yes,227
228,6-25,Yes,Yes,Not sure,No,Very easy,Yes,228
229,1-5,Yes,No,Yes,No,Don't know,Yes,229
230,26-100,Yes,Yes,No,No,Don't know,Don't know,230
231,500-1000,Yes,Yes,Yes,No,Don't know,No,231
232,More than 1000,No,Don't know,Not sure,Don't know,Very difficult,No,232
233,26-100,Yes,Don't know,Not sure,No,Don't know,No,233
234,26-100,Yes,Don't know,No,Don't know,Somewhat easy,Yes,234
235,26-100,Yes,No,No,No,Somewhat difficult,No,235
236,26-100,Yes,Yes,Yes,No,Don't know,Don't know,236
237,6-25,Yes,No,No,No,Somewhat difficult,No,237
238,More than 1000,No,Yes,Yes,Yes,Somewhat easy,Yes,238
239,6-25,No,Yes,Yes,Yes,Don't know,No,239
240,6-25,Yes,Don't know,No,No,Don't know,No,240
241,1-5,Yes,No,No,No,Somewhat difficult,No,241
242,26-100,Yes,Yes,Yes,Yes,Somewhat easy,Don't know,242
243,6-25,Yes,No,No,No,Somewhat difficult,No,243
244,More than 1000,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,244
245,More than 1000,Yes,Yes,Yes,Yes,Don't know,No,245
246,6-25,No,Don't know,No,No,Don't know,Don't know,246
247,6-25,No,No,No,No,Very easy,Yes,247
248,1-5,Yes,No,No,No,Don't know,Don't know,248
249,500-1000,No,Yes,Yes,Yes,Don't know,Don't know,249
250,26-100,No,Don't know,No,No,Somewhat easy,Yes,250
251,100-500,Yes,Yes,No,No,Somewhat easy,Yes,251
252,100-500,Yes,Yes,Yes,Yes,Very easy,Yes,252
253,100-500,No,Don't know,Not sure,Don't know,Very easy,Don't know,253
254,6-25,Yes,Don't know,No,Don't know,Don't know,Don't know,254
255,6-25,Yes,No,No,No,Somewhat difficult,Don't know,255
256,6-25,Yes,Don't know,Not sure,Don't know,Don't know,Yes,256
257,6-25,Yes,No,Yes,No,Somewhat easy,Yes,257
258,1-5,Yes,No,No,No,Don't know,No,258
259,6-25,Yes,No,Yes,No,Very difficult,No,259
260,6-25,Yes,Yes,No,No,Don't know,Don't know,260
261,6-25,Yes,No,Yes,No,Very difficult,No,261
262,100-500,Yes,Yes,Yes,No,Don't know,Yes,262
263,6-25,Yes,No,Yes,No,Very difficult,No,263
264,6-25,Yes,No,Not sure,No,Somewhat easy,Don't know,264
265,6-25,Yes,No,Yes,No,Very easy,Don't know,265
266,26-100,Yes,Yes,Yes,Don't know,Very easy,Yes,266
267,1-5,Yes,Don't know,Not sure,Don't know,Very easy,Don't know,267
268,26-100,Yes,Yes,Yes,No,Don't know,Don't know,268
269,6-25,Yes,No,No,No,Very easy,Don't know,269
270,1-5,Yes,No,No,No,Somewhat difficult,No,270
271,100-500,No,Yes,No,Don't know,Don't know,Yes,271
272,More than 1000,Yes,Yes,Yes,Yes,Very easy,Yes,272
273,26-100,Yes,No,Yes,No,Somewhat easy,Don't know,273
274,26-100,Yes,Yes,No,No,Don't know,No,274
275,100-500,Yes,Yes,No,Yes,Don't know,Don't know,275
276,26-100,No,Yes,No,No,Don't know,Don't know,276
277,6-25,Yes,No,Yes,No,Somewhat easy,Don't know,277
278,100-500,No,Yes,Yes,Yes,Very easy,Yes,278
279,100-500,Yes,Don't know,No,No,Don't know,No,279
280,6-25,Yes,Don't know,Not sure,Yes,Somewhat easy,No,280
281,6-25,Yes,No,No,No,Don't know,Don't know,281
282,6-25,Yes,Don't know,No,No,Don't know,Don't know,282
283,26-100,Yes,Yes,Yes,No,Somewhat difficult,Don't know,283
284,100-500,No,Don't know,Not sure,No,Don't know,No,284
285,6-25,Yes,No,No,No,Somewhat easy,Yes,285
286,More than 1000,Yes,Yes,Not sure,Don't know,Don't know,Don't know,286
287,26-100,Yes,Don't know,Not sure,Don't know,Very easy,Yes,287
288,1-5,Yes,No,Yes,No,Don't know,Don't know,288
289,More than 1000,Yes,Yes,Yes,Yes,Somewhat easy,Don't know,289
290,1-5,Yes,No,No,No,Somewhat easy,Yes,290
291,More than 1000,Yes,Don't know,No,No,Don't know,Don't know,291
292,More than 1000,Yes,Yes,Yes,Don't know,Don't know,Don't know,292
293,More than 1000,Yes,Yes,No,No,Don't know,Don't know,293
294,More than 1000,Yes,Yes,Not sure,Don't know,Don't know,Don't know,294
295,500-1000,Yes,Don't know,Not sure,No,Don't know,No,295
296,26-100,Yes,Yes,Yes,Yes,Very easy,Yes,296
297,More than 1000,Yes,Yes,No,Don't know,Don't know,Yes,297
298,More than 1000,Yes,Yes,No,Yes,Don't know,Don't know,298
299,More than 1000,Yes,Yes,Yes,Yes,Don't know,Don't know,299
300,More than 1000,Yes,Yes,Yes,Yes,Don't know,Yes,300
301,More than 1000,Yes,Yes,Not sure,Don't know,Somewhat easy,Yes,301
302,100-500,Yes,Yes,Not sure,No,Don't know,Don't know,302
303,100-500,No,Yes,Yes,Yes,Somewhat easy,Yes,303
304,More than 1000,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,304
305,6-25,Yes,Yes,No,No,Don't know,Yes,305
306,26-100,Yes,Yes,Not sure,No,Somewhat easy,Don't know,306
307,26-100,Yes,No,No,No,Don't know,Don't know,307
308,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,308
309,100-500,Yes,Yes,Not sure,Yes,Don't know,Don't know,309
310,6-25,No,Don't know,No,No,Somewhat difficult,Don't know,310
311,100-500,Yes,Yes,Not sure,Don't know,Don't know,Don't know,311
312,1-5,Yes,No,Yes,No,Somewhat easy,Yes,312
313,More than 1000,Yes,Yes,Not sure,No,Don't know,No,313
314,More than 1000,Yes,Don't know,No,Don't know,Very easy,Yes,314
315,6-25,No,Don't know,Not sure,No,Don't know,Don't know,315
316,100-500,No,Don't know,Not sure,No,Don't know,Don't know,316
317,More than 1000,No,Yes,Yes,Yes,Very easy,Yes,317
318,More than 1000,Yes,Yes,Yes,Yes,Somewhat easy,Yes,318
319,26-100,Yes,No,Yes,No,Somewhat easy,Don't know,319
320,100-500,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,320
321,More than 1000,Yes,Yes,No,No,Don't know,No,321
322,500-1000,Yes,Yes,Not sure,Don't know,Somewhat easy,Yes,322
323,More than 1000,Yes,Yes,Yes,No,Don't know,Don't know,323
324,6-25,Yes,Yes,No,Don't know,Don't know,Don't know,324
325,More than 1000,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,325
326,More than 1000,Yes,Yes,Yes,Yes,Somewhat easy,Don't know,326
327,More than 1000,Yes,Don't know,Not sure,Don't know,Don't know,Yes,327
328,1-5,Yes,No,Yes,No,Don't know,Don't know,328
329,1-5,No,No,No,No,Somewhat difficult,Yes,329
330,26-100,Yes,Yes,Not sure,Yes,Very easy,Yes,330
331,More than 1000,Yes,Yes,Yes,No,Don't know,No,331
332,100-500,No,Don't know,No,No,Somewhat easy,No,332
333,1-5,Yes,No,No,No,Very difficult,Don't know,333
334,6-25,No,No,Yes,No,Don't know,No,334
335,26-100,Yes,Yes,Not sure,Yes,Very easy,Don't know,335
336,26-100,Yes,Don't know,No,No,Don't know,Don't know,336
337,More than 1000,Yes,Yes,Not sure,Don't know,Very easy,Don't know,337
338,More than 1000,Yes,Yes,Yes,Don't know,Don't know,Don't know,338
339,26-100,Yes,Yes,Yes,Yes,Very easy,Yes,339
340,26-100,No,Don't know,Not sure,No,Don't know,No,340
341,26-100,Yes,No,Yes,No,Very difficult,No,341
342,More than 1000,Yes,Don't know,Not sure,Don't know,Very easy,No,342
343,More than 1000,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,343
344,1-5,Yes,Don't know,No,No,Don't know,No,344
345,26-100,Yes,Yes,Yes,No,Don't know,Don't know,345
346,100-500,No,Don't know,No,No,Don't know,Don't know,346
347,More than 1000,Yes,Don't know,No,Yes,Don't know,Don't know,347
348,More than 1000,Yes,Don't know,No,Don't know,Don't know,Don't know,348
349,More than 1000,Yes,Yes,Yes,Don't know,Don't know,Yes,349
350,6-25,No,Don't know,No,No,Don't know,Don't know,350
351,More than 1000,Yes,Yes,Yes,Yes,Don't know,Yes,351
352,6-25,Yes,No,No,No,Very easy,Yes,352
353,More than 1000,Yes,Yes,Not sure,Don't know,Don't know,Don't know,353
354,6-25,Yes,Yes,Yes,Yes,Somewhat easy,No,354
355,500-1000,No,No,Yes,No,Don't know,No,355
356,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,356
357,More than 1000,Yes,Yes,Yes,Don't know,Don't know,Don't know,357
358,100-500,Yes,No,No,No,Somewhat easy,Don't know,358
359,1-5,Yes,No,Yes,No,Very easy,Yes,359
360,6-25,Yes,No,No,No,Somewhat difficult,Don't know,360
361,26-100,Yes,No,No,No,Somewhat difficult,Yes,361
362,100-500,No,No,No,No,Don't know,No,362
363,More than 1000,No,Yes,Yes,Yes,Don't know,Yes,363
364,6-25,Yes,Yes,Yes,No,Don't know,No,364
365,More than 1000,Yes,Don't know,Not sure,No,Somewhat difficult,No,365
366,More than 1000,Yes,Yes,No,Yes,Very easy,Don't know,366
367,100-500,Yes,No,Yes,No,Very easy,Don't know,367
368,100-500,Yes,Yes,No,No,Don't know,Don't know,368
369,6-25,No,Don't know,Not sure,No,Very easy,No,369
370,More than 1000,Yes,Yes,No,Yes,Somewhat easy,Yes,370
371,More than 1000,Yes,Yes,No,Yes,Somewhat difficult,No,371
372,More than 1000,Yes,Yes,Yes,Yes,Very easy,Yes,372
373,26-100,Yes,Yes,Yes,Yes,Somewhat easy,Yes,373
374,26-100,Yes,Don't know,Not sure,Don't know,Somewhat easy,Don't know,374
375,26-100,Yes,Yes,Yes,Don't know,Don't know,Don't know,375
376,More than 1000,Yes,Yes,Yes,No,Don't know,No,376
377,26-100,Yes,Don't know,No,No,Don't know,Yes,377
378,More than 1000,No,Yes,Yes,Yes,Very difficult,Yes,378
379,More than 1000,Yes,Yes,Yes,No,Don't know,Don't know,379
380,500-1000,Yes,Yes,Not sure,No,Somewhat easy,Don't know,380
381,More than 1000,Yes,Yes,No,Yes,Don't know,Yes,381
382,26-100,Yes,Yes,No,No,Don't know,Don't know,382
383,26-100,Yes,No,No,No,Somewhat easy,No,383
384,6-25,Yes,Don't know,No,No,Don't know,No,384
385,More than 1000,Yes,Yes,Yes,No,Don't know,Don't know,385
386,500-1000,Yes,Don't know,Not sure,No,Don't know,Don't know,386
387,1-5,Yes,Yes,Yes,No,Very difficult,No,387
388,6-25,Yes,Don't know,Not sure,No,Somewhat difficult,Don't know,388
389,More than 1000,Yes,Yes,Yes,No,Don't know,Don't know,389
390,1-5,Yes,No,Yes,No,Very difficult,No,390
391,More than 1000,No,Yes,No,Don't know,Somewhat easy,Don't know,391
392,More than 1000,Yes,Don't know,No,No,Somewhat easy,Don't know,392
393,26-100,Yes,Don't know,No,Don't know,Very easy,Yes,393
394,500-1000,No,No,No,No,Very difficult,No,394
395,More than 1000,No,Yes,Not sure,No,Don't know,Don't know,395
396,26-100,Yes,Don't know,No,No,Don't know,No,396
397,6-25,Yes,No,No,No,Very difficult,No,397
398,100-500,Yes,Don't know,Not sure,No,Don't know,Don't know,398
399,100-500,Yes,Don't know,Not sure,Don't know,Somewhat easy,Yes,399
400,6-25,Yes,Yes,Yes,No,Somewhat difficult,No,400
401,26-100,Yes,Yes,Yes,No,Don't know,No,401
402,More than 1000,Yes,Don't know,No,No,Don't know,No,402
403,100-500,Yes,Yes,Yes,No,Very difficult,No,403
404,26-100,Yes,Don't know,No,No,Very easy,Don't know,404
405,6-25,Yes,Yes,Yes,No,Very easy,No,405
406,26-100,Yes,Yes,Yes,Yes,Don't know,Yes,406
407,More than 1000,Yes,Don't know,No,Don't know,Don't know,Yes,407
408,6-25,Yes,Don't know,No,No,Somewhat easy,Don't know,408
409,500-1000,Yes,No,No,No,Don't know,Don't know,409
410,More than 1000,Yes,Yes,Yes,No,Somewhat easy,No,410
411,More than 1000,No,Don't know,Not sure,No,Very difficult,No,411
412,More than 1000,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,412
413,More than 1000,Yes,Don't know,No,No,Don't know,Yes,413
414,100-500,Yes,Don't know,Not sure,Don't know,Somewhat difficult,Yes,414
415,6-25,Yes,Don't know,No,No,Somewhat easy,Don't know,415
416,100-500,Yes,Don't know,Not sure,No,Somewhat difficult,No,416
417,6-25,Yes,No,No,No,Don't know,No,417
418,6-25,Yes,No,No,No,Somewhat easy,Don't know,418
419,1-5,Yes,No,Yes,No,Don't know,No,419
420,1-5,Yes,Yes,No,No,Very easy,Yes,420
421,26-100,Yes,Don't know,No,Don't know,Don't know,Don't know,421
422,6-25,Yes,Yes,Yes,Yes,Very easy,Yes,422
423,6-25,Yes,No,No,No,Somewhat easy,Don't know,423
424,More than 1000,No,Yes,Yes,No,Don't know,Don't know,424
425,6-25,No,Don't know,Not sure,No,Don't know,Yes,425
426,100-500,Yes,No,Yes,No,Somewhat difficult,No,426
427,More than 1000,No,Yes,Not sure,Yes,Don't know,Don't know,427
428,More than 1000,No,Yes,No,No,Don't know,Don't know,428
429,More than 1000,Yes,Yes,Yes,Yes,Somewhat easy,Yes,429
430,100-500,Yes,Don't know,No,No,Somewhat easy,Yes,430
